"Time","{container=""application-controller""}"
1680631200000,582336512
1680638400000,671662080
1680645600000,583131136
1680652800000,570920960
1680660000000,550215680
1680667200000,594915328
1680674400000,609730560
1680681600000,596144128
1680688800000,617590784
1680696000000,586903552
1680703200000,640417792
1680710400000,526180352
1680717600000,719622144
1680724800000,586661888
1680732000000,620396544
1680739200000,555630592
1680746400000,565784576
1680753600000,630784000
1680760800000,687161344
1680768000000,647262208
1680775200000,681525248
1680782400000,680751104
1680789600000,598339584
1680796800000,673017856
1680804000000,628011008
1680811200000,614989824
1680818400000,535785472
1680825600000,624967680
1680832800000,559607808
1680840000000,573698048
1680847200000,538603520
1680854400000,662392832
1680861600000,550842368
1680868800000,640643072
1680876000000,620298240
1680883200000,604549120
1680890400000,575606784
1680897600000,580313088
1680904800000,575303680
1680912000000,631623680
1680919200000,504184832
1680926400000,613380096
1680933600000,576561152
1680940800000,549576704
1680948000000,514359296
1680955200000,609927168
1680962400000,654516224
1680969600000,681455616
1680976800000,592605184
1680984000000,563666944
1680991200000,567349248
1680998400000,618831872
1681005600000,603770880
1681012800000,719159296
1681020000000,608165888
1681027200000,676028416
1681034400000,596443136
1681041600000,583581696
1681048800000,636866560
1681056000000,547774464
1681063200000,679243776
1681070400000,559067136
1681077600000,573407232
1681084800000,666107904
1681092000000,621608960
1681099200000,544964608
1681106400000,547790848
1681113600000,557469696
1681120800000,660283392
1681128000000,664899584
1681135200000,511864832
1681142400000,606093312
1681149600000,604905472
1681156800000,639873024
1681164000000,673234944
1681171200000,520953856
1681178400000,503603200
1681185600000,536129536
1681192800000,537640960
1681200000000,619143168
1681207200000,536600576
1681214400000,592371712
1681221600000,584138752
1681228800000,552341504
1681236000000,773115904
1681243200000,591515648
1681250400000,579923968
1681257600000,598806528
1681264800000,570454016
1681272000000,603443200
1681279200000,580751360
1681286400000,525426688
1681293600000,739631104
1681300800000,536027136
1681308000000,545771520
1681315200000,535941120
1681322400000,575799296
1681329600000,545337344
1681336800000,582987776
1681344000000,708771840
1681351200000,649117696
1681358400000,651071488
1681365600000,643973120
1681372800000,689741824
1681380000000,624377856
1681387200000,630235136
1681394400000,720556032
1681401600000,598163456
1681408800000,571310080
1681416000000,611586048
1681423200000,658264064
1681430400000,523935744
1681437600000,566190080
1681444800000,635752448
1681452000000,661897216
1681459200000,663085056
1681466400000,744480768
1681473600000,654049280
1681480800000,603414528
1681488000000,772657152
1681495200000,603594752

