"Time","{container=""install-cni""}"
1680631200000,18272256
1680638400000,18378752
1680645600000,17960960
1680652800000,18132992
1680660000000,121810944
1680667200000,18137088
1680674400000,18481152
1680681600000,18587648
1680688800000,19517440
1680696000000,18530304
1680703200000,18219008
1680710400000,18186240
1680717600000,18694144
1680724800000,18280448
1680732000000,18391040
1680739200000,18305024
1680746400000,19742720
1680753600000,17887232
1680760800000,18132992
1680768000000,19177472
1680775200000,18665472
1680782400000,36139008
1680789600000,18829312
1680796800000,19599360
1680804000000,18432000
1680811200000,18100224
1680818400000,18169856
1680825600000,18165760
1680832800000,19144704
1680840000000,19156992
1680847200000,102678528
1680854400000,18903040
1680861600000,102985728
1680868800000,19222528
1680876000000,17854464
1680883200000,18493440
1680890400000,18399232
1680897600000,18464768
1680904800000,18292736
1680919200000,18509824
1680926400000,18518016
1680933600000,17989632
1680948000000,18407424
1680955200000,19603456
1680969600000,819200
1680976800000,18690048
1680984000000,17813504
1680991200000,18468864
1681005600000,18444288
1681012800000,19619840
1681020000000,18333696
1681027200000,18571264
1681034400000,18878464
1681041600000,18894848
1681048800000,18059264
1681056000000,18972672
1681063200000,18526208
1681070400000,18706432
1681077600000,18137088
1681084800000,18931712
1681106400000,19054592
1681113600000,19197952
1681120800000,1114112
1681135200000,18710528
1681142400000,18821120
1681149600000,18579456
1681164000000,19382272
1681178400000,19189760
1681192800000,103063552
1681200000000,18964480
1681207200000,18436096
1681214400000,36073472
1681221600000,18489344
1681228800000,17993728
1681236000000,19013632
1681243200000,18534400
1681250400000,18477056
1681257600000,18259968
1681264800000,18489344
1681272000000,18890752
1681279200000,18059264
1681286400000,18157568
1681293600000,18870272
1681300800000,18489344
1681308000000,19349504
1681315200000,17686528
1681322400000,121896960
1681329600000,18485248
1681336800000,18235392
1681344000000,18358272
1681351200000,18440192
1681358400000,18468864
1681365600000,20611072
1681372800000,19951616
1681380000000,19693568
1681387200000,18673664
1681394400000,19357696
1681401600000,18374656
1681408800000,18477056
1681416000000,35729408
1681423200000,18173952
1681430400000,121057280
1681437600000,18624512
1681444800000,18055168
1681452000000,18374656
1681459200000,18972672
1681466400000,20656128
1681473600000,22327296
1681480800000,17948672
1681488000000,18300928
1681495200000,17719296

