"Time","{container=""mongod""}"
1680631200000,363577344
1680638400000,360488960
1680645600000,363216896
1680652800000,375910400
1680660000000,377585664
1680667200000,384724992
1680674400000,380518400
1680681600000,367198208
1680688800000,371490816
1680696000000,370049024
1680703200000,359960576
1680710400000,354537472
1680717600000,351719424
1680724800000,357732352
1680732000000,363495424
1680739200000,376627200
1680746400000,377757696
1680753600000,379674624
1680760800000,379379712
1680768000000,378802176
1680775200000,362450944
1680782400000,356458496
1680789600000,356319232
1680796800000,361832448
1680804000000,367071232
1680811200000,364806144
1680818400000,362098688
1680825600000,377851904
1680832800000,369831936
1680840000000,371085312
1680847200000,371273728
1680854400000,360083456
1680861600000,363732992
1680868800000,368795648
1680876000000,365268992
1680883200000,361820160
1680890400000,358739968
1680897600000,359919616
1680904800000,367259648
1680912000000,365391872
1680919200000,360267776
1680926400000,358522880
1680933600000,358842368
1680940800000,361381888
1680948000000,364752896
1680955200000,360206336
1680962400000,360030208
1680969600000,359915520
1680976800000,366469120
1680984000000,362500096
1680991200000,362622976
1680998400000,364679168
1681005600000,362762240
1681012800000,358404096
1681020000000,359694336
1681027200000,361283584
1681034400000,360271872
1681041600000,363401216
1681048800000,359534592
1681056000000,362422272
1681063200000,359804928
1681070400000,355987456
1681077600000,353660928
1681084800000,358760448
1681092000000,361857024
1681099200000,364015616
1681106400000,356511744
1681113600000,360640512
1681120800000,362618880
1681128000000,355127296
1681135200000,356286464
1681142400000,361697280
1681149600000,356573184
1681156800000,352010240
1681164000000,351797248
1681171200000,361136128
1681178400000,360820736
1681185600000,362635264
1681192800000,365604864
1681200000000,359686144
1681207200000,355196928
1681214400000,358600704
1681221600000,367243264
1681228800000,364429312
1681236000000,361365504
1681243200000,363061248
1681250400000,357433344
1681257600000,360120320
1681264800000,366137344
1681272000000,362979328
1681279200000,376107008
1681286400000,360968192
1681293600000,351297536
1681300800000,346132480
1681308000000,389066752
1681315200000,370044928
1681322400000,361066496
1681329600000,357752832
1681336800000,361332736
1681344000000,380788736
1681351200000,373604352
1681358400000,381059072
1681365600000,384114688
1681372800000,387158016
1681380000000,384532480
1681387200000,378441728
1681394400000,382636032
1681401600000,386203648
1681408800000,370966528
1681416000000,371748864
1681423200000,377118720
1681430400000,386215936
1681437600000,375013376
1681444800000,371802112
1681452000000,374829056
1681459200000,391864320
1681466400000,383184896
1681473600000,388481024
1681480800000,391700480
1681488000000,385060864
1681495200000,378642432

